 10.452  0.120  7.66  0.03
  7.868  0.080  5.14  0.00
 10.004  0.112  7.57  0.10
  9.440  0.080  6.87  0.15
  8.116  0.120  6.16  0.11
  8.092  0.080  6.07  0.05
  8.596  0.080  6.26  0.10
  8.548  0.084  6.26  0.10
 10.652  0.080  8.14  0.09
  9.452  0.080  7.09  0.18
 10.336  0.080  7.39  0.16
  8.660  0.080  5.22  0.30
  9.292  0.080  7.14  0.15
  7.672  0.080  5.83  0.15
  9.588  0.100  7.26  0.11
 10.320  0.080  8.22  0.06
 10.672  0.080  9.01  0.11
 10.888  0.088  8.73  0.11
 10.404  0.136  8.15  0.15
  9.532  0.080  7.03  0.15
 10.492  0.080  7.78  0.04
  8.052  0.080  5.46  0.30
 10.784  0.080  9.18  0.08
 10.764  0.092  8.32  0.11
  8.680  0.080  6.00  0.12
 10.544  0.080  7.97  0.06
 10.492  0.080  7.31  0.11
 10.848  0.088  9.14  0.10
  7.132  0.080  5.80  0.00
 10.388  0.080  8.14  0.03
  8.152  0.212  5.93  0.16
 10.352  0.080  8.04  0.05
 10.452  0.080  7.78  0.08
 11.036  0.080  9.10  0.03
 10.912  0.080  9.01  0.11
  8.484  0.120  5.68  0.12
  9.936  0.112  7.94  0.03
 10.276  0.144  7.79  0.13
  9.832  0.096  6.21  0.20
 11.008  0.080  9.43  0.12
  8.236  0.080  5.88  0.15
  8.736  0.080  6.44  0.12
 11.196  0.080  8.57  0.18
  7.720  0.080  5.62  0.39
  8.892  0.080  6.59  0.12
  9.372  0.080  6.87  0.15
  9.256  0.080  6.61  0.17
 10.580  0.080  8.47  0.18
  8.560  0.080  6.21  0.19
  9.588  0.080  7.78  0.13
  9.304  0.080  6.87  0.15
  7.184  0.080  6.21  0.19
  9.936  0.080  7.74  0.13
 10.404  0.080  7.90  0.13
  9.080  0.088  6.47  0.18
 10.316  0.080  7.87  0.12
  9.040  0.080  6.59  0.12
  9.084  0.080  6.59  0.12
  8.760  0.080  6.77  0.13
  8.928  0.080  6.43  0.12
  8.656  0.080  6.07  0.15
  8.888  0.080  6.48  0.13
  9.080  0.080  6.67  0.12
  7.144  0.080  4.88  0.82
 10.104  0.080  7.96  0.02
  9.596  0.080  7.27  0.13
  8.520  0.080  6.20  0.19
  9.752  0.080  7.13  0.12
  9.328  0.080  6.51  0.12
 10.188  0.080  7.77  0.04
 10.536  0.096  8.10  0.09
  9.896  0.092  7.23  0.13
  8.120  0.080  6.16  0.17
  9.444  0.108  7.16  0.13
  8.960  0.080  7.03  0.13
 10.268  0.080  8.02  0.03
  7.280  0.080  4.89  0.90
  9.472  0.080  7.51  0.12
  9.984  0.084  7.07  0.12
  8.704  0.080  6.70  0.12
  8.876  0.080  6.48  0.13
 10.744  0.080  9.28  0.05
 10.568  0.080  8.36  0.07
 10.476  0.080  8.93  0.12
  9.332  0.080  6.88  0.14
